confirmationnumber,client,program,exam,startdate,enddate,startschedulingdate,endschedulingdate
0000000097377207,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097378551,CPA,CPA,BEC,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097380203,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097383085,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097387882,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097387883,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097388771,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097393831,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097393837,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097397114,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097397681,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097397682,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097399487,CFP,CFP,CFP,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097399516,ADA1,ADA1,DAT,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097405068,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097405631,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097405632,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097406747,NBCE,NBCE,V2PT3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097407003,ICMA,ICMA,CMA1D,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097408530,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
